XYLT2	ELF3	SLC26A3	LTBP3	NSD1	TBX3	RET	PTEN	CYP11B1	TP53	IDH2	CIC	IDH1	ERCC2	NEFH	ARID1A	LOR	IRF6	AR	SETD2	PTCH1	VHL	KRT10	ERBB2	HLA-A	MAPK1	BRCA2	EGFR	KEAP1	NOTCH1	MTOR	ATM	NFE2L2	CDC27	CUL3	AMER1	FBXW7	KRAS	EP300	CASP8	CDH1	MAP3K1	ASB5	STK11	PIK3CA	TRAF7	CDKN1A	NPM1	ABL1	IRS1	SMAD2	HRAS	RBM10	BRCA1	CTNNB1	WNT1	TSC1	CBFB	KIT	SMAD4	PBRM1	KDR	NF1	MET	SMARCB1	ACVR1B	MLH1	RHOB	PTGDR2	CDK12	RUNX1	EPHA2	LMTK2	ZFP36L2	RPL5	BCAR1	PKD2	KMT2C	MAP2K4	KDM6A	CDKN1B	MGA	GNG12	CEBPA	FGFR3	HLA-B	RAC1	B2M	BRAF	RHOA	FLT3	NF2	AJUBA	KMT2D	NRAS	ZFP36L1	APC	GATA3	ZNF814	SOX9	TCF12	WT1	EPAS1	EOMES	GATA6	ATRX	AXIN1	RB1	STAG2	U2AF1	BCLAF1	ERCC6	TET2	PCF11	PHF6	USF3	MSH3	AMMECR1	EIF1AX	BCOR	ARID2	GPR50	KDM5C	FOXA1	TFDP2	TGFBR2	NUMBL	DNMT3A	FUBP1	NUDT11	TXNDC2	CPS1	PKD1L1	IFT46	SPOP	TNFSF9	AGAP6	MTA2	TMEM184A	CABLES1	DLX6	IL21R	ABHD17A	CMTR2	RNF43	COL4A3	BAP1	MEGF9	FAT1	EFEMP1	FAT2	CRIPAK	PAXIP1	GPS2	MAMLD1	FAM120C	KRTAP4-5	R3HDM1	CSDE1	IPP	PAM	DPCR1	SMG7	ZNF750	RPTN	KRT2	KCNN3	LARP1	TNRC18	SHROOM4	NUP93	FAM47C	GAGE2A	QRICH1	CLEC17A	SEMG1
XYLT2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF3	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC26A3	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTBP3	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSD1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX3	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RET	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTEN	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP11B1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
